item	id	rating_raw	pred_min	pred	pred_new	pred_new_noLen	pred_new_noSem	pred_new_noDirPP	pred_new_noSem_noDirPP	z.DirObjWordLength	DirObjLettLength	DirectionalPP	Semantics	Variety	VerbPart	gender	native_english	grew_up	grew_up_region	lang_other_eng_bin	lang_other_eng	linguistics_course	education	Response	Variety_ord	Variety_rev_helm	Variety_custom	rating_st	z.DirObjLettLength	rating_c	z.pred_min	education_simple
B5	idb025	22.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	male	NA	India	Ahmedabad	NA	NA	No	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	-0.7985434993678735	1.2231558930242168	-27.5	0.3510827450542086	university
B5	idb026	48.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	female	NA	India	Mumbai	NA	NA	Yes	higher education (master degree or higher)	Discontinuous	IndE	IndE	IndE	-0.13289638144719168	1.2231558930242168	-1.5	0.3510827450542086	postgraduate
B5	id027	10	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	female	NA	India	MYSORE, KARNATAKA	NA	NA	No	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	-1.118566152214355	1.2231558930242168	-40	0.3510827450542086	university
B5	id029	71.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	female	NA	India	Andhra Pradesh	NA	NA	No	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	0.45594529979033455	1.2231558930242168	21.5	0.3510827450542086	university
B5	id031	90	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	male	NA	India	Delhi	NA	NA	No	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	0.9295788260031274	1.2231558930242168	40	0.3510827450542086	university
B5	idb016	30.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	male	NA	India	All over India, mostly in the states of Rajasthan, Jammu & Kashmir, and Maharashtra.	NA	NA	Yes	secondary education (class 10-12)	Discontinuous	IndE	IndE	IndE	-0.5937290015461253	1.2231558930242168	-19.5	0.3510827450542086	no_university
B5	idb017	50.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	female	NA	India	Delhi NCR	NA	NA	No	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	-0.08169275699175461	1.2231558930242168	0.5	0.3510827450542086	university
B5	b10	93	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Durham	No	NA	No	higher education (postgraduate studies)	Discontinuous	BrE	BrE	BrE	1.006384262686283	1.2231558930242168	43	0.3510827450542086	postgraduate
B5	b7	10.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Shropshire	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-1.1057652461004959	1.2231558930242168	-39.5	0.3510827450542086	university
B5	b5	81	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	London	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	0.6991625159536606	1.2231558930242168	31	0.3510827450542086	university
B5	idb006	100	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	male	NA	India	Pune	NA	NA	Yes	higher education (master degree or higher)	Discontinuous	IndE	IndE	IndE	1.1855969482803126	1.2231558930242168	50	0.3510827450542086	postgraduate
B5	id007	99	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	male	NA	India	Rourkela, Odisha	NA	NA	No	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	1.1599951360525942	1.2231558930242168	49	0.3510827450542086	university
B5	idb008	31	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	female	NA	India	Gidderbaha, Punjab	NA	NA	Yes	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	-0.580928095432266	1.2231558930242168	-19	0.3510827450542086	university
B5	idb009	0	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	male	NA	India	Pune, Maharasthra, India	NA	NA	No	higher education (master degree or higher)	Discontinuous	IndE	IndE	IndE	-1.3745842744915404	1.2231558930242168	-50	0.3510827450542086	postgraduate
B5	idb011	1.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	male	NA	India	Ahemdabad	NA	NA	Yes	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	-1.3361815561499626	1.2231558930242168	-48.5	0.3510827450542086	university
B5	idb012	52	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	female	NA	India	Pune	NA	NA	Yes	higher education (master degree or higher)	Discontinuous	IndE	IndE	IndE	-0.04329003865017682	1.2231558930242168	2	0.3510827450542086	postgraduate
B5	idb013	64.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	female	NA	India	city	NA	NA	No	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	0.2767326141963048	1.2231558930242168	14.5	0.3510827450542086	university
B5	idb014	73	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	female	NA	India	PUNE	NA	NA	No	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	0.4943480181319123	1.2231558930242168	23	0.3510827450542086	university
B5	b15	63	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	female	Yes	Great Britain	Kent	No	NA	No	higher education (postgraduate studies)	Discontinuous	BrE	BrE	BrE	0.23832989585472703	1.2231558930242168	13	0.3510827450542086	postgraduate
B5	b16	9.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Chester	No	NA	No	secondary education	Discontinuous	BrE	BrE	BrE	-1.1313670583282145	1.2231558930242168	-40.5	0.3510827450542086	no_university
B5	b31	78.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Cardiff, Wales 	No	NA	No	secondary education	Discontinuous	BrE	BrE	BrE	0.6351579853843643	1.2231558930242168	28.5	0.3510827450542086	no_university
B5	b34	39.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Surrey	No	NA	No	secondary education	Discontinuous	BrE	BrE	BrE	-0.36331269149665846	1.2231558930242168	-10.5	0.3510827450542086	no_university
B5	b24	36.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	female	Yes	Great Britain	Glasgow	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-0.44011812817981405	1.2231558930242168	-13.5	0.3510827450542086	university
B5	b38	80.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	London	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	0.6863616098398013	1.2231558930242168	30.5	0.3510827450542086	university
B5	b28	0	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	female	Yes	Great Britain	Cambridge	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-1.3745842744915404	1.2231558930242168	-50	0.3510827450542086	university
B5	b29	30.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	brighton	No	no	No	secondary education	Discontinuous	BrE	BrE	BrE	-0.5937290015461253	1.2231558930242168	-19.5	0.3510827450542086	no_university
B5	b43	71.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Aberdeen	No	NA	No	higher education (postgraduate studies)	Discontinuous	BrE	BrE	BrE	0.45594529979033455	1.2231558930242168	21.5	0.3510827450542086	postgraduate
B5	b44	21.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	female	Yes	Great Britain	Derby	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-0.824145311595592	1.2231558930242168	-28.5	0.3510827450542086	university
B5	b45	25	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	London	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-0.7345389687985772	1.2231558930242168	-25	0.3510827450542086	university
B5	b46	17.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Essex	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-0.9265525605064662	1.2231558930242168	-32.5	0.3510827450542086	university
B5	b37	49.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Middlesbrough	No	n/a	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-0.10729456921947315	1.2231558930242168	-0.5	0.3510827450542086	university
B5	b41	0	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Ireland	Armagh	No	NA	No	higher education (postgraduate studies)	Discontinuous	BrE	BrE	BrE	-1.3745842744915404	1.2231558930242168	-50	0.3510827450542086	postgraduate
B5	id032	74	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	male	NA	India	Chennai, Tamilnadu	NA	NA	Yes	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	0.5199498303596308	1.2231558930242168	24	0.3510827450542086	university
B5	id033	53	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	female	NA	India	karnataka	NA	NA	No	higher education (master degree or higher)	Discontinuous	IndE	IndE	IndE	-0.01768822642245829	1.2231558930242168	3	0.3510827450542086	postgraduate
B5	id034	79	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	male	NA	India	Kolkata, West Bengal	NA	NA	No	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	0.6479588914982235	1.2231558930242168	29	0.3510827450542086	university
B5	b9	50	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	female	Yes	Great Britain	Scotland	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-0.09449366310561388	1.2231558930242168	0	0.3510827450542086	university
B5	b1	74	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	england	No	NA	No	secondary education	Discontinuous	BrE	BrE	BrE	0.5199498303596308	1.2231558930242168	24	0.3510827450542086	no_university
B5	b23	10	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Ipswich	No	NA	No	secondary education	Discontinuous	BrE	BrE	BrE	-1.118566152214355	1.2231558930242168	-40	0.3510827450542086	no_university
B5	b12	31.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	female	Yes	Ireland	Northern Ireland	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-0.5681271893184067	1.2231558930242168	-18.5	0.3510827450542086	university
B5	b13	31.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Nottinghamshire	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-0.5681271893184067	1.2231558930242168	-18.5	0.3510827450542086	university
B5	b14	57.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Cambridgeshire	No	NA	No	higher education (postgraduate studies)	Discontinuous	BrE	BrE	BrE	0.0975199286022751	1.2231558930242168	7.5	0.3510827450542086	postgraduate
B5	b4	87	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	female	Yes	Great Britain	Liverpool	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	0.8527733893199718	1.2231558930242168	37	0.3510827450542086	university
B5	b17	90.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	nottingham	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	0.9423797321169867	1.2231558930242168	40.5	0.3510827450542086	university
B5	b40	31	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	hertfordshire	No	NA	No	secondary education	Discontinuous	BrE	BrE	BrE	-0.580928095432266	1.2231558930242168	-19	0.3510827450542086	no_university
B5	b25	74	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	London	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	0.5199498303596308	1.2231558930242168	24	0.3510827450542086	university
B5	b26	49.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	norwich	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-0.10729456921947315	1.2231558930242168	-0.5	0.3510827450542086	university
A6	a18	79	0.36282670612925	1.19071010859945	0.46366074065152896	0.351564721933304	0.21565862042876294	0.9158559468336231	0.9158559468336231	-1.68580060422961	9	no	compositional	BrE	get back	male	Yes	Great Britain	Scotland 	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	0.6479588914982235	-0.3723791849584918	29	0.14932364343714216	university
A6	a2	100	0.36282670612925	1.19071010859945	0.46366074065152896	0.351564721933304	0.21565862042876294	0.9158559468336231	0.9158559468336231	-1.68580060422961	9	no	compositional	BrE	get back	male	Yes	Great Britain	London	No	NA	No	higher education (postgraduate studies)	Discontinuous	BrE	BrE	BrE	1.1855969482803126	-0.3723791849584918	50	0.14932364343714216	postgraduate
A6	a38	100	0.36282670612925	1.19071010859945	0.46366074065152896	0.351564721933304	0.21565862042876294	0.9158559468336231	0.9158559468336231	-1.68580060422961	9	no	compositional	BrE	get back	female	Yes	Great Britain	South East	No	NA	No	higher education (postgraduate studies)	Discontinuous	BrE	BrE	BrE	1.1855969482803126	-0.3723791849584918	50	0.14932364343714216	postgraduate
A6	a27	94.5	0.36282670612925	1.19071010859945	0.46366074065152896	0.351564721933304	0.21565862042876294	0.9158559468336231	0.9158559468336231	-1.68580060422961	9	no	compositional	BrE	get back	female	Yes	Great Britain	Lancashire	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	1.0447869810278607	-0.3723791849584918	44.5	0.14932364343714216	university
A6	a28	91.5	0.36282670612925	1.19071010859945	0.46366074065152896	0.351564721933304	0.21565862042876294	0.9158559468336231	0.9158559468336231	-1.68580060422961	9	no	compositional	BrE	get back	male	Yes	Great Britain	Suffolk	No	NA	No	secondary education	Discontinuous	BrE	BrE	BrE	0.9679815443447052	-0.3723791849584918	41.5	0.14932364343714216	no_university
A6	a25	100	0.36282670612925	1.19071010859945	0.46366074065152896	0.351564721933304	0.21565862042876294	0.9158559468336231	0.9158559468336231	-1.68580060422961	9	no	compositional	BrE	get back	male	Yes	Great Britain	Glasgow	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	1.1855969482803126	-0.3723791849584918	50	0.14932364343714216	university
A6	a26	84	0.36282670612925	1.19071010859945	0.46366074065152896	0.351564721933304	0.21565862042876294	0.9158559468336231	0.9158559468336231	-1.68580060422961	9	no	compositional	BrE	get back	female	Yes	Great Britain	London	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	0.7759679526368162	-0.3723791849584918	34	0.14932364343714216	university
A6	a29	94.5	0.36282670612925	1.19071010859945	0.46366074065152896	0.351564721933304	0.21565862042876294	0.9158559468336231	0.9158559468336231	-1.68580060422961	9	no	compositional	BrE	get back	male	Yes	Great Britain	norwich	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	1.0447869810278607	-0.3723791849584918	44.5	0.14932364343714216	university
A6	a36	98	0.36282670612925	1.19071010859945	0.46366074065152896	0.351564721933304	0.21565862042876294	0.9158559468336231	0.9158559468336231	-1.68580060422961	9	no	compositional	BrE	get back	male	Yes	Great Britain	london	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	1.1343933238248756	-0.3723791849584918	48	0.14932364343714216	university
A6	a3	35	0.36282670612925	1.19071010859945	0.46366074065152896	0.351564721933304	0.21565862042876294	0.9158559468336231	0.9158559468336231	-1.68580060422961	9	no	compositional	BrE	get back	male	Yes	Great Britain	york	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-0.4785208465213919	-0.3723791849584918	-15	0.14932364343714216	university
A6	a1	68.5	0.36282670612925	1.19071010859945	0.46366074065152896	0.351564721933304	0.21565862042876294	0.9158559468336231	0.9158559468336231	-1.68580060422961	9	no	compositional	BrE	get back	male	Yes	Great Britain	Armagh, N. Ireland	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	0.37913986310717895	-0.3723791849584918	18.5	0.14932364343714216	university
A6	a15	97.5	0.36282670612925	1.19071010859945	0.46366074065152896	0.351564721933304	0.21565862042876294	0.9158559468336231	0.9158559468336231	-1.68580060422961	9	no	compositional	BrE	get back	female	Yes	Great Britain	Stoke on Trent	No	NA	No	higher education (postgraduate studies)	Discontinuous	BrE	BrE	BrE	1.1215924177110164	-0.3723791849584918	47.5	0.14932364343714216	postgraduate
A6	a21	97.5	0.36282670612925	1.19071010859945	0.46366074065152896	0.351564721933304	0.21565862042876294	0.9158559468336231	0.9158559468336231	-1.68580060422961	9	no	compositional	BrE	get back	female	Yes	Great Britain	west sussex	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	1.1215924177110164	-0.3723791849584918	47.5	0.14932364343714216	university
A6	a39	95	0.36282670612925	1.19071010859945	0.46366074065152896	0.351564721933304	0.21565862042876294	0.9158559468336231	0.9158559468336231	-1.68580060422961	9	no	compositional	BrE	get back	male	Yes	Great Britain	Cheshire	No	NA	No	higher education (postgraduate studies)	Discontinuous	BrE	BrE	BrE	1.05758788714172	-0.3723791849584918	45	0.14932364343714216	postgraduate
A6	a52	100	0.36282670612925	1.19071010859945	0.46366074065152896	0.351564721933304	0.21565862042876294	0.9158559468336231	0.9158559468336231	-1.68580060422961	9	no	compositional	BrE	get back	male	Yes	Great Britain	Somerset	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	1.1855969482803126	-0.3723791849584918	50	0.14932364343714216	university
